达人名称,视频笔记报价,模型预估报价,报价偏差,粉丝数
藤和里树,12000.0,33034.91,-21034.91,258578
护肤大王花姐,10000.0,31016.34,-21016.34,209009
人间小甜豆（新生儿）,8000.0,29000.83,-21000.83,142458
张点点呀-,8000.0,28973.96,-20973.96,115758
Bing啊ling,7000.0,27966.49,-20966.49,110411
大紫紫,15000.0,35952.56,-20952.56,362764
钟小苏苏苏,10800.0,31748.8,-20948.8,231783
芋什么圆,12000.0,32944.55,-20944.55,268032
江北北,26000.0,46937.98,-20937.98,713457
米提亚,8700.0,29622.86,-20922.86,107085
Tina在新西兰🦄,16500.0,37421.42,-20921.42,400013
西北农村创业娃,6500.0,27417.91,-20917.91,103017
刘世妍,10000.0,30908.16,-20908.16,153293
羊沐沐_Raina📸,7000.0,27905.95,-20905.95,110272
Mr.Muggle,8000.0,28884.34,-20884.34,117092
至春禾,15000.0,35872.67,-20872.67,169845
天台上的四哥,7500.0,28370.03,-20870.03,123183
大彬在乡村,8500.0,29354.27,-20854.27,127495
孙美林,10000.0,30845.35,-20845.35,194673
不精致的嘉鑫,6900.0,27737.34,-20837.34,105995
刘大军《旧味食足》,8000.0,28833.89,-20833.89,134352
Sheryl,15000.0,35819.91,-20819.91,358274
今今_Jennie,20000.0,40814.4,-20814.4,502995
草莓啾啾🍓,7000.0,27805.62,-20805.62,101872
精灵配音员钰莹,20000.0,40792.97,-20792.97,521338
白一辰,7000.0,27787.5,-20787.5,112771
匠心严选,8100.0,28886.29,-20786.29,121236
Sssprite.L,8000.0,28775.83,-20775.83,134073
牛油果会辉,8000.0,28764.9,-20764.9,108077
CC橙子,7500.0,28264.67,-20764.67,101810
小啊奶屁🔮魔法版,7000.0,27760.44,-20760.44,100675
小半碎碎念_,8000.0,28748.88,-20748.88,119428
巧乐兹Chocliz,7100.0,27844.68,-20744.68,109410
Tani Lee,8000.0,28726.98,-20726.98,133386
你的中二芒果,10000.0,30716.75,-20716.75,138187
双棒的快乐食间,8000.0,28693.61,-20693.61,127476
拉木小伙,12000.0,32691.87,-20691.87,163519
豚豚🍥,6000.0,26689.49,-20689.49,100868
国产百晓生,8000.0,28650.52,-20650.52,105224
椰CC,7800.0,28416.93,-20616.93,122303
阿庆庆庆庆,9200.0,29814.23,-20614.23,130691
咔咔莎莎,8800.0,29409.03,-20609.03,158439
HappyPlanner,9945.0,30552.18,-20607.18,175150
玉玉帝,9800.0,30405.01,-20605.01,153933
JOJO,10000.0,30592.91,-20592.91,147236
煜子子子,8000.0,28592.83,-20592.83,128508
Helloyuyu,7000.0,27581.05,-20581.05,100826
疯狂寝室长,8500.0,29076.84,-20576.84,152882
舒某,7500.0,28074.13,-20574.13,111553
lola偏不跑,8000.0,28569.55,-20569.55,100273
团团的小时光～,8000.0,28563.8,-20563.8,129389
史岩陶笛音乐,9400.0,29955.53,-20555.53,149096
在桃哈妮,8000.0,28552.05,-20552.05,139965
Suki小米,10400.0,30947.4,-20547.4,148456
bluedee,8500.0,29041.77,-20541.77,147586
静静醒了_,8000.0,28530.24,-20530.24,128340
帅大斌（走哪吃哪）,8200.0,28714.85,-20514.85,104133
Keek可,5800.0,26302.49,-20502.49,129201
丸冰冰,8800.0,29296.54,-20496.54,103452
LIUZ,8000.0,28490.06,-20490.06,123242
至本,10600.0,31088.34,-20488.34,146244
俄罗斯联邦馆nice,23500.0,43986.08,-20486.08,374337
小娱转晴,8000.0,28480.17,-20480.17,122890
何雨虹,12000.0,32472.04,-20472.04,190752
月不高,12000.0,32466.33,-20466.33,235260
小草拌豆腐,10000.0,30456.42,-20456.42,182782
🔆Diuen Mami🦒🌿,11942.0,32371.69,-20429.69,247738
胡胡乎乎,14000.0,34420.83,-20420.83,311642
秦秦日记,7500.0,27918.53,-20418.53,108261
喵了个汪,8000.0,28405.15,-20405.15,127185
咖姐（岛民版）,8000.0,28387.98,-20387.98,124355
卷卷bb,8700.0,29078.1,-20378.1,122863
散打凤凤🥊,17000.0,37376.02,-20376.02,192351
百無禁忌,12000.0,32355.86,-20355.86,188678
胖吴杀猪啦,7727.0,28069.14,-20342.14,113905
