达人名称,综合价值分,粉丝数,认证类型,视频笔记报价,视频CPE,互动成本指数,粉丝质量指数,内容吸引力指数,省份
欧阳会食养,1.91,744578,头部达人,67000.0,54.93,0.0005458640866781841,0.102,0.020753846153846154,湖南
刘昱晗📕,1.87,109766,明星,30000.0,0.0,0.001771717154589004,0.1052,0.010346153846153847,北京
三一,1.86,198679,腰部达人,13500.0,5.88,0.005101756559685547,0.1046,0.0057115384615384615,四川
巧克力酱酱,1.86,269758,腰部达人,30000.0,16.65,0.001801516602235117,0.104,0.011861538461538462,广东
博哥的居家秘籍,1.84,122361,腰部达人,12000.0,72.85,0.0004115194822205874,0.0945,0.02641538461538462,湖北
Keek可,1.79,129201,腰部达人,5800.0,0.14,0.21428548979585418,0.03,0.007207692307692307,福建
keansho,1.78,111417,腰部达人,,0.0,0.001771717154589004,0.1003,0.010003846153846153,中国
911,1.76,153295,腰部达人,10000.0,0.0,0.001771717154589004,0.0987,0.010842307692307691,中国
林忆莲,1.72,212179,明星,38600.0,0.0,0.001771717154589004,0.099,0.006103846153846154,中国香港
周一芳,1.7,229832,腰部达人,14000.0,13.52,0.002218649830856841,0.0978,0.005403846153846154,四川
张高翔,1.69,333641,腰部达人,59988.0,15.76,0.0019032681289975653,0.0951,0.009246153846153847,中国
方寸心心,1.63,214038,腰部达人,60000.0,0.85,0.035293842016727965,0.0719,0.002796153846153846,中国
_Sarah爱喝美式,1.63,115639,腰部达人,4000.0,2.86,0.010489227772146998,0.0832,0.010607692307692308,中国
拖米阿叔,1.63,137601,腰部达人,15000.0,26.53,0.0011305099347631098,0.0963,0.00365,China
九溺JN,1.59,294176,腰部达人,30000.0,9.77,0.003070339523240741,0.0919,0.0039000000000000003,浙江
韩哆啦,1.58,357133,腰部达人,22000.0,12.63,0.0023750118764031217,0.0842,0.01541923076923077,中国
小猪瑞瑞,1.57,196927,腰部达人,12000.0,7.43,0.004037400499822561,0.0848,0.011365384615384614,中国
饭后一颗糖（浩哥）,1.56,461785,腰部达人,38000.0,3.85,0.0077919243041861645,0.0771,0.016653846153846154,中国
ps,1.55,108831,腰部达人,7344.0,0.0,0.001771717154589004,0.0879,0.007611538461538461,上海
大莹w,1.53,212295,腰部达人,5500.0,2.86,0.010489227772146998,0.0764,0.012203846153846152,广东
陳綺貞,1.51,140011,明星,46800.0,0.0,0.001771717154589004,0.0874,0.0046653846153846155,中国香港
Jacob废墟南瓜,1.51,129284,腰部达人,3039.0,0.28,0.10714260204074343,0.0385,0.008942307692307692,中国
大喜在东京,1.47,140658,腰部达人,18000.0,12.21,0.0024567174446360127,0.081,0.010219230769230769,日本
一只沙发,1.45,113006,腰部达人,12000.0,14.69,0.00204192045114872,0.0783,0.012573076923076921,山西
林小糍粑,1.44,135566,腰部达人,200800.0,6.73,0.004457367862368317,0.0822,0.002723076923076923,中国
彭海芝,1.43,139159,腰部达人,17000.0,15.69,0.001911760721032973,0.0818,0.006253846153846155,浙江
Comwang女士,1.41,156569,腰部达人,22000.0,8.38,0.0035796675757795524,0.0805,0.004007692307692308,辽宁
慧小媛,1.39,251210,腰部达人,40000.0,20.31,0.0014768195821088235,0.0778,0.008519230769230769,中国
Amakusakiko,1.37,128787,腰部达人,45000.0,42.62,0.0007036093717760368,0.0795,0.005769230769230769,印度尼西亚
羊毛月,1.33,443825,腰部达人,34600.0,0.0,0.001771717154589004,0.0,0.11982307692307691,中国
东边有水,1.31,105570,腰部达人,10000.0,0.0,0.001771717154589004,0.0729,0.00906923076923077,广东
咖喱面包鸡🐤,1.26,152787,腰部达人,18000.0,2.65,0.011320472237116058,0.0622,0.010426923076923077,湖北
way总.皖瑶🥀祝自己11.10srkl🎂,1.22,159734,腰部达人,14700.0,9.68,0.0030988887248300724,0.0448,0.041084615384615386,
王潮歌,1.22,110646,腰部达人,12500.0,4.39,0.006833429222177305,0.0636,0.00915,云南
彩岚美景,1.18,133631,腰部达人,,0.0,0.001771717154589004,0.0411,0.044557692307692305,湖南
吴大桐女侠,1.18,182587,腰部达人,21000.0,1.04,0.028845876373547092,0.054,0.0026230769230769233,广东
